PresOrder,TrialNumber,ShapeNoShape,StairNum,BlockNum,TargetPosition,TargetLuminance,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,Stair_Update
45,57,1,1,1,1,1.16,2,0.138722132891417,1.72202012408525,0.905406293459237,1,1
46,91,1,2,1,2,1.01,2,0.266129066236317,1.43277567997575,1.03280156478286,0,0
47,87,1,2,1,1,1.01,2,0.0588768711313605,1.45885212440044,0.825551359914243,1,1
48,105,1,1,1,1,1.16,2,0.153555341996253,1.62019242718816,0.920226702466607,1,1
49,8,2,2,1,2,1.12,2,0.143444764427841,1.32681386731565,0.910124089568853,0,0
50,118,2,1,1,1,0.94,2,0.175412053242326,1.32538936845958,0.942093084566295,0,1
51,108,2,2,1,1,1.12,2,0.389433173462749,1.53944064024836,1.15613639075309,1,1
52,119,1,2,1,2,1.01,1,0.356758186593652,1.45676487125456,1.12341361772269,1,1
53,41,1,1,1,2,1.12,1,0.377351679839194,1.79411199968308,1.14408448059112,1,1
54,7,1,2,1,2,1.01,2,0.145388089120388,1.46200917288661,0.911997724324465,0,0
55,20,2,2,1,1,1.12,2,0.294637226499617,1.71127637382597,1.06131000909954,1,1
56,59,1,2,1,2,1.01,2,0.307395697571337,1.39069411624223,1.07405397389084,0,0
57,71,1,2,1,1,1.01,2,0.000322560779750347,1.35027797333896,0.766982827335596,1,1
58,43,1,2,1,2,1.02,2,0.166245831176639,1.61625856067985,0.932910365052521,0,0
59,34,2,1,1,2,0.92,2,0.0554845863953233,1.33880320005119,0.82215025741607,1,0
60,6,2,1,1,1,0.92,1,0.0529353953897953,1.55295345745981,0.819623537361622,1,0
61,136,2,3,1,2,0.8,2,0.067595093511045,1.53428366221488,0.834272142499685,1,0
62,13,1,1,1,1,1.08,2,0.247313350439072,1.38064782228321,1.01390819530934,1,1
63,100,2,2,1,2,1.12,2,0.143466097302735,1.36012344900519,0.910134613513947,0,0
64,40,2,2,1,2,1.12,2,0.1253373157233,1.52532536908984,0.891999004408717,0,0
65,55,1,2,1,1,1.02,2,0.103468088433146,1.62013411521912,0.870125226676464,1,1
66,39,1,2,1,1,1.01,2,0.217480533756316,1.35080391075462,0.984136248007417,1,1
67,27,1,2,1,1,1.02,2,0.0741575108841062,1.3241514666006,0.840824889019132,1,1
68,35,1,2,1,1,1.02,2,0.213523341342807,1.34681656956673,0.980191858485341,1,1
69,58,2,1,1,2,0.92,2,0.0149620622396469,1.26491562649608,0.781625173985958,1,0
70,10,2,1,1,2,0.94,2,0.112841102294624,1.32950357347727,0.879500799812376,1,0
71,48,2,2,1,1,1.12,2,0.0987505782395601,1.43206599075347,0.865381831303239,1,1
72,4,2,2,1,1,1.12,1,1.55339491553605,2.57005767151713,2.32004636526108,0,0
73,116,2,2,1,2,1.12,1,0.191303110681474,1.37466567195952,0.957982719875872,1,1
