PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
147,153,2,1,1,2,1,1,NaN
148,181,2,2,2,2,1,1,NaN
149,143,2,2,2,2,2,1,0.374773484983052
150,213,1,2,1,1,2,1,0.437731197498579
151,218,2,1,2,2,1,1,NaN
152,135,1,2,2,1,1,1,NaN
153,199,2,1,2,2,1,1,NaN
154,114,2,2,1,2,1,1,NaN
155,145,1,2,1,1,1,1,NaN
156,156,2,2,1,2,1,1,NaN
157,211,2,2,1,2,1,1,NaN
158,189,2,2,1,2,1,1,NaN
159,179,2,1,1,2,1,1,NaN
160,146,2,2,2,2,1,1,NaN
161,125,1,1,2,1,1,1,NaN
162,137,1,1,2,1,1,1,NaN
163,123,1,2,2,1,1,1,NaN
164,204,2,1,2,2,1,1,NaN
165,122,2,1,2,2,1,1,NaN
166,163,2,1,1,2,1,1,NaN
167,174,1,1,1,1,1,1,NaN
168,185,2,2,1,2,1,1,NaN
169,113,1,2,2,1,1,1,NaN
170,160,1,2,2,1,1,1,NaN
171,171,2,1,1,2,1,1,NaN
172,127,1,2,2,1,1,1,NaN
173,116,2,1,1,2,1,1,NaN
174,220,2,2,2,2,1,1,NaN
175,111,1,1,1,1,1,1,NaN
176,140,2,1,2,2,2,1,0.407597091242678
177,195,2,1,1,2,1,1,NaN
178,152,1,1,1,1,1,1,NaN
179,178,1,1,2,1,1,1,NaN
180,191,2,1,1,2,1,1,NaN
181,141,2,2,2,2,1,1,NaN
182,200,1,2,2,1,1,1,NaN
183,131,1,2,2,1,1,1,NaN
184,203,1,1,1,1,1,1,NaN
185,166,1,1,1,1,1,1,NaN
186,119,2,2,1,2,2,1,0.419632237944825
187,217,1,1,1,1,1,1,NaN
188,196,1,2,1,1,1,1,NaN
189,126,2,1,2,2,1,1,NaN
190,136,2,2,1,2,1,1,NaN
191,115,1,1,2,1,1,1,NaN
192,139,1,2,1,1,1,1,NaN
193,162,1,1,1,1,1,1,NaN
194,177,2,2,1,2,1,1,NaN
195,129,1,1,1,1,1,1,NaN
196,138,2,1,2,2,1,1,NaN
197,161,2,2,1,2,1,1,NaN
198,186,1,1,1,1,1,1,NaN
199,190,1,1,2,1,1,1,NaN
200,207,2,1,1,2,2,1,0.384020506925481
201,165,2,2,1,2,1,1,NaN
202,133,1,1,1,1,1,1,NaN
203,212,1,1,2,1,1,1,NaN
204,118,2,2,2,2,2,1,0.298663268746168
205,197,2,2,2,2,1,1,NaN
206,132,2,2,1,2,1,1,NaN
207,187,2,1,2,2,1,1,NaN
208,172,1,2,2,1,1,1,NaN
209,117,1,2,2,1,1,1,NaN
210,180,1,2,2,1,1,1,NaN
211,134,2,1,2,2,1,1,NaN
212,173,2,2,2,2,1,1,NaN
213,219,1,2,2,1,1,1,NaN
214,120,2,2,1,2,1,1,NaN
215,158,1,1,1,1,1,1,NaN
216,206,2,2,1,2,1,1,NaN
217,168,1,2,2,1,1,1,NaN
218,184,1,2,2,1,1,1,NaN
219,201,2,2,1,2,1,1,NaN
220,175,2,1,1,2,1,1,NaN
221,244,2,2,1,2,1,1,NaN
222,301,2,1,2,2,1,1,NaN
223,281,1,2,1,1,1,1,NaN
224,222,2,1,1,2,1,1,NaN
225,295,2,2,1,2,1,1,NaN
226,234,2,1,2,2,1,1,NaN
227,299,2,2,2,2,1,1,NaN
228,233,1,1,1,1,1,1,NaN
229,254,1,1,2,1,1,1,NaN
230,264,1,2,1,1,2,1,0.479256024013011
231,280,2,1,2,2,1,1,NaN
232,298,1,2,1,1,1,1,NaN
233,288,1,1,1,1,1,1,NaN
234,235,1,2,2,1,1,1,NaN
235,231,1,2,1,1,1,1,NaN
