PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
269,311,1,2,2,1,1,1,NaN
270,244,2,1,1,2,1,1,NaN
271,330,2,2,2,2,1,1,NaN
272,306,2,2,1,2,2,1,0.359967527174376
273,305,2,1,1,2,1,1,NaN
274,247,1,1,2,1,1,1,NaN
275,318,1,2,1,1,2,1,0.486224071271863
276,290,2,1,1,2,1,1,NaN
277,261,2,1,1,2,1,1,NaN
278,268,1,1,1,1,1,1,NaN
279,232,2,1,1,2,1,1,NaN
280,265,2,1,1,2,1,1,NaN
281,266,1,2,2,1,1,1,NaN
282,245,1,2,1,1,1,1,NaN
283,236,2,1,2,2,1,1,NaN
284,293,1,1,2,1,2,1,0.367181141646142
285,233,1,2,2,1,1,1,NaN
286,241,1,2,1,1,1,1,NaN
287,263,2,2,2,2,1,1,NaN
288,296,2,1,1,2,1,1,NaN
289,302,1,2,1,1,1,1,NaN
290,281,2,1,2,2,1,1,NaN
291,315,1,2,2,1,1,1,NaN
292,299,2,2,1,2,1,1,NaN
293,237,1,2,2,1,1,1,NaN
294,322,1,1,2,1,1,1,NaN
295,314,2,1,1,2,1,1,NaN
296,308,2,2,1,2,1,1,NaN
297,328,2,1,2,2,1,1,NaN
298,282,1,2,1,1,1,1,NaN
299,238,2,2,1,2,1,1,NaN
300,321,2,2,2,2,1,1,NaN
301,273,2,1,1,2,1,1,NaN
302,228,1,2,1,1,1,1,NaN
303,235,1,1,1,1,1,1,NaN
304,300,1,1,2,1,1,1,NaN
305,313,1,1,2,1,1,1,NaN
306,276,1,1,1,1,1,1,NaN
307,230,2,2,1,2,2,1,0.548096860091391
308,298,1,2,1,1,1,1,NaN
309,270,1,2,1,1,1,1,NaN
310,289,1,1,2,1,1,1,NaN
311,226,1,1,1,1,1,1,NaN
312,246,2,2,2,2,1,1,NaN
313,309,1,1,1,1,1,1,NaN
314,234,2,2,1,2,1,1,NaN
315,240,2,1,2,2,1,1,NaN
316,259,2,2,2,2,1,1,NaN
317,250,1,2,1,1,1,1,NaN
318,287,1,1,1,1,2,1,0.404214677681011
319,251,2,2,1,2,1,1,NaN
320,271,2,2,2,2,1,1,NaN
321,252,1,1,1,1,1,1,NaN
322,325,2,1,2,2,2,1,0.366791327274768
323,320,1,2,2,1,1,1,NaN
324,288,2,2,2,2,1,1,NaN
325,317,1,1,2,1,1,1,NaN
326,249,2,1,1,2,1,1,NaN
327,255,2,2,2,2,1,1,NaN
328,256,1,1,1,1,1,1,NaN
329,291,1,2,1,1,1,1,NaN
330,231,1,1,2,1,1,1,NaN
331,421,1,1,1,1,1,1,NaN
332,380,2,2,2,2,1,1,NaN
333,363,1,1,2,1,1,1,NaN
334,387,1,1,1,1,1,1,NaN
335,433,1,2,1,1,2,1,0.391358119713914
336,401,2,1,2,2,1,1,NaN
337,366,2,2,2,2,1,1,NaN
338,422,2,1,2,2,1,1,NaN
339,356,2,1,1,2,1,1,NaN
340,394,2,2,1,2,1,1,NaN
341,335,1,1,2,1,1,1,NaN
342,410,1,2,2,1,1,1,NaN
343,347,1,1,1,1,1,1,NaN
344,375,2,2,1,2,1,1,NaN
345,339,1,1,1,1,1,1,NaN
346,438,2,1,1,2,1,1,NaN
347,351,1,1,1,1,1,1,NaN
348,435,2,2,1,2,2,1,0.462046507898776
349,367,1,1,1,1,2,1,0.478124594857945
350,419,1,2,1,1,1,1,NaN
351,348,2,1,1,2,1,1,NaN
352,350,2,2,2,2,1,1,NaN
353,376,2,2,1,2,2,1,0.547148370316791
354,420,2,2,2,2,1,1,NaN
355,415,1,2,1,1,1,1,NaN
356,371,2,2,2,2,1,1,NaN
357,386,2,1,1,2,2,0,NaN
358,349,1,2,2,1,1,1,NaN
359,431,1,1,1,1,1,1,NaN
360,382,2,1,2,2,1,1,NaN
361,359,1,1,2,1,1,1,NaN
362,400,1,1,1,1,1,1,NaN
363,428,2,1,2,2,1,1,NaN
364,397,2,1,2,2,1,1,NaN
365,403,2,2,2,2,1,1,NaN
366,427,2,1,2,2,2,1,0.387513238909378
367,402,1,2,1,1,1,1,NaN
368,381,1,1,2,1,1,1,NaN
369,398,1,2,1,1,1,1,NaN
370,377,1,1,1,1,1,1,NaN
371,344,2,1,1,2,1,1,NaN
372,384,1,2,2,1,2,1,0.515368256057627
373,345,1,2,2,1,1,1,NaN
374,424,1,2,1,1,1,1,NaN
375,353,1,2,2,1,1,1,NaN
376,385,2,2,2,2,1,1,NaN
377,341,1,2,1,1,1,1,NaN
378,388,2,1,1,2,1,1,NaN
379,408,1,1,2,1,1,1,NaN
380,352,2,1,1,2,1,1,NaN
381,331,1,1,1,1,1,1,NaN
382,338,2,2,1,2,1,1,NaN
383,412,1,1,1,1,1,1,NaN
384,439,1,2,1,1,1,1,NaN
385,426,1,1,2,1,1,1,NaN
386,355,1,1,2,1,1,1,NaN
387,392,2,1,2,2,1,1,NaN
388,396,1,1,2,1,1,1,NaN
389,336,2,1,2,2,1,1,NaN
390,358,2,2,2,2,1,1,NaN
391,399,2,2,1,2,1,1,NaN
392,368,1,1,1,1,1,1,NaN
393,430,2,2,1,2,1,1,NaN
394,425,2,2,2,2,1,1,NaN
395,346,2,2,2,2,1,1,NaN
396,417,1,1,1,1,1,1,NaN
397,407,2,2,2,2,1,1,NaN
398,374,1,2,1,1,1,1,NaN
399,405,2,1,2,2,1,1,NaN
400,414,2,1,1,2,1,1,NaN
401,406,1,2,1,1,1,1,NaN
402,364,2,1,2,2,1,1,NaN
403,418,2,1,1,2,1,1,NaN
404,354,2,2,1,2,1,1,NaN
405,409,2,1,1,2,1,1,NaN
406,337,1,2,1,1,1,1,NaN
407,391,1,1,2,1,1,1,NaN
408,370,1,2,2,1,1,1,NaN
409,416,2,2,1,2,1,1,NaN
410,361,1,2,1,1,1,1,NaN
411,390,2,2,1,2,1,1,NaN
412,378,2,1,2,2,1,1,NaN
413,423,1,2,2,1,2,1,0.403882223381515
414,342,2,2,1,2,1,1,NaN
415,362,2,2,2,2,1,1,NaN
416,334,2,2,1,2,1,1,NaN
417,343,1,1,2,1,1,1,NaN
418,365,1,2,2,1,1,1,NaN
419,369,2,1,2,2,1,1,NaN
420,413,2,2,2,2,2,1,0.396642270101438
421,373,2,1,1,2,1,1,NaN
422,437,1,1,1,1,1,1,NaN
423,411,2,2,2,2,1,1,NaN
424,332,2,1,1,2,1,1,NaN
425,429,1,2,2,1,1,1,NaN
426,393,1,2,1,1,1,1,NaN
427,436,2,2,1,2,1,1,NaN
428,395,1,1,2,1,2,1,0.565538419397853
429,434,1,2,2,1,1,1,NaN
430,340,2,1,2,2,1,1,NaN
431,383,1,2,2,1,1,1,NaN
432,372,1,1,1,1,1,1,NaN
433,440,2,2,2,2,1,1,NaN
434,379,1,2,1,1,1,1,NaN
435,389,1,2,1,1,1,1,NaN
436,432,2,1,1,2,1,1,NaN
437,333,1,2,1,1,1,1,NaN
438,357,1,2,1,1,1,1,NaN
439,360,2,1,2,2,1,1,NaN
440,404,1,1,1,1,1,1,NaN
