PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
77,30,2,1,1,2,1,1,NaN
78,47,2,1,1,2,1,1,NaN
79,61,2,1,1,2,1,1,NaN
80,4,2,1,2,2,2,1,0.294192204824867
81,46,1,1,2,1,1,1,NaN
82,77,2,2,1,2,1,1,NaN
83,11,2,1,1,2,1,1,NaN
84,92,1,2,1,1,1,1,NaN
85,105,1,2,2,1,1,1,NaN
86,45,2,2,2,2,1,1,NaN
87,25,1,2,1,1,1,1,NaN
88,43,2,1,1,2,1,1,NaN
89,82,1,1,1,1,1,1,NaN
90,95,2,1,2,2,1,1,NaN
91,81,2,2,2,2,1,1,NaN
92,108,2,1,1,2,1,1,NaN
93,110,2,2,1,2,1,1,NaN
94,103,1,1,1,1,1,1,NaN
95,32,2,2,2,2,1,1,NaN
96,87,2,1,2,2,1,1,NaN
97,72,2,2,1,2,2,1,0.698619056245661
98,41,1,1,2,1,1,1,NaN
99,27,2,2,2,2,1,1,NaN
100,40,2,2,2,2,1,1,NaN
101,57,2,2,2,2,1,1,NaN
102,28,2,1,1,2,2,1,0.409593647781548
103,85,2,2,2,2,1,1,NaN
104,38,2,1,2,2,1,1,NaN
105,71,1,2,2,1,1,1,NaN
106,35,1,2,2,1,1,1,NaN
107,16,1,2,2,1,1,1,NaN
108,51,2,1,2,2,1,1,NaN
109,109,1,2,1,1,1,1,NaN
110,96,1,2,1,1,1,1,NaN
111,194,1,1,1,1,1,1,NaN
112,129,2,1,1,2,1,1,NaN
113,197,2,2,1,2,1,1,NaN
114,115,1,1,1,1,1,1,NaN
115,212,2,1,1,2,1,1,NaN
116,155,1,1,2,1,1,1,NaN
117,156,2,1,2,2,1,1,NaN
118,134,1,2,1,1,1,1,NaN
119,189,2,2,1,2,1,1,NaN
120,124,1,1,1,1,1,1,NaN
121,198,1,1,1,1,1,1,NaN
122,179,1,2,2,1,1,1,NaN
123,201,2,2,1,2,1,1,NaN
124,216,2,1,1,2,1,1,NaN
125,152,1,2,1,1,1,1,NaN
126,132,1,1,1,1,1,1,NaN
127,195,2,1,2,2,1,1,NaN
128,131,2,2,2,2,1,1,NaN
129,145,2,2,1,2,1,1,NaN
130,162,2,2,1,2,1,1,NaN
131,177,1,1,1,1,1,1,NaN
132,164,1,1,1,1,1,1,NaN
133,160,2,1,2,2,1,1,NaN
134,120,2,1,1,2,1,1,NaN
135,209,1,2,1,1,1,1,NaN
136,112,2,1,1,2,1,1,NaN
137,147,2,1,1,2,1,1,NaN
138,190,1,1,2,1,1,1,NaN
139,118,2,2,1,2,1,1,NaN
140,196,1,2,1,1,1,1,NaN
141,144,1,2,2,1,1,1,NaN
142,171,2,2,2,2,1,1,NaN
143,146,1,1,1,1,1,1,NaN
144,200,1,2,2,1,1,1,NaN
145,176,2,2,2,2,1,1,NaN
146,192,1,2,2,1,1,1,NaN
147,141,2,2,2,2,1,1,NaN
148,199,2,1,1,2,1,1,NaN
149,161,1,2,1,1,1,1,NaN
150,202,1,1,1,1,1,1,NaN
151,138,1,1,1,1,1,1,NaN
152,213,1,2,1,1,1,1,NaN
153,116,2,1,1,2,1,1,NaN
154,169,2,1,1,2,1,1,NaN
155,215,1,1,2,1,1,1,NaN
156,205,2,2,2,2,1,1,NaN
157,175,1,2,2,1,1,1,NaN
158,207,1,1,1,1,1,1,NaN
159,148,1,2,1,1,1,1,NaN
160,126,1,2,2,1,1,1,NaN
161,210,2,2,1,2,1,1,NaN
162,208,2,1,1,2,1,1,NaN
163,217,1,2,1,1,2,1,0.686341952074145
164,191,2,1,2,2,1,1,NaN
165,182,1,1,1,1,1,1,NaN
166,128,1,1,2,1,1,1,NaN
167,204,1,2,1,1,1,1,NaN
168,127,2,2,2,2,1,1,NaN
169,119,1,1,2,1,1,1,NaN
170,220,1,1,1,1,2,1,0.535995347981043
171,214,2,2,2,2,1,1,NaN
172,137,2,1,2,2,2,1,0.324068315846489
173,157,1,2,2,1,1,1,NaN
174,180,2,2,1,2,1,1,NaN
175,135,2,2,1,2,1,1,NaN
176,206,2,2,1,2,2,1,0.335317035854132
177,203,2,1,1,2,1,1,NaN
178,125,2,1,2,2,1,1,NaN
179,184,1,2,1,1,1,1,NaN
180,153,2,2,2,2,1,1,NaN
181,139,2,1,2,2,1,1,NaN
182,219,2,2,2,2,1,1,NaN
183,111,1,1,2,1,1,1,NaN
184,211,1,1,2,1,1,1,NaN
185,178,2,1,2,2,1,1,NaN
186,142,1,1,2,1,1,1,NaN
187,166,1,2,1,1,1,1,NaN
188,218,1,2,1,1,1,1,NaN
189,151,2,1,1,2,1,1,NaN
190,123,2,2,1,2,1,1,NaN
191,185,2,2,1,2,1,1,NaN
192,174,1,2,1,1,2,1,0.492796482071753
193,133,2,1,1,2,1,1,NaN
194,193,2,2,2,2,1,1,NaN
195,140,1,2,2,1,1,1,NaN
196,117,1,2,1,1,1,1,NaN
197,170,1,2,1,1,1,1,NaN
198,187,2,1,1,2,1,1,NaN
199,167,2,2,1,2,1,1,NaN
200,188,1,2,2,1,1,1,NaN
201,165,2,1,1,2,1,1,NaN
202,183,2,1,1,2,1,1,NaN
203,158,2,2,1,2,1,1,NaN
204,168,1,1,2,1,1,1,NaN
205,150,1,1,1,1,1,1,NaN
206,159,1,1,1,1,1,1,NaN
207,114,2,2,2,2,1,1,NaN
208,121,1,1,1,1,2,1,0.790535353851737
209,130,1,2,1,1,1,1,NaN
210,173,2,1,2,2,1,1,NaN
211,186,1,1,1,1,1,1,NaN
212,154,2,2,2,2,2,1,0.598168399223141
213,163,1,2,2,1,2,1,0.439044533365632
214,149,2,2,1,2,1,1,NaN
215,113,1,2,2,1,1,1,NaN
216,172,1,1,1,1,1,1,NaN
217,181,2,2,2,2,2,1,0.421593023844252
218,122,1,2,2,1,1,1,NaN
219,136,2,1,2,2,2,1,0.319163444309197
220,143,2,1,1,2,1,1,NaN
221,278,2,2,2,2,1,1,NaN
222,284,2,1,2,2,1,1,NaN
223,221,1,1,2,1,1,1,NaN
224,323,1,1,1,1,1,1,NaN
225,264,2,2,2,2,1,1,NaN
226,287,1,1,1,1,2,1,0.650733638259226
227,306,1,1,1,1,1,1,NaN
228,309,2,2,1,2,1,1,NaN
229,265,1,1,1,1,1,1,NaN
230,239,1,1,2,1,1,1,NaN
231,242,1,2,1,1,1,1,NaN
232,254,2,1,1,2,1,1,NaN
233,280,2,1,2,2,1,1,NaN
234,329,1,2,2,1,1,1,NaN
235,249,1,1,2,1,1,1,NaN
236,296,2,2,1,2,1,1,NaN
237,260,2,2,1,2,1,1,NaN
238,232,2,2,2,2,1,1,NaN
239,297,1,1,1,1,1,1,NaN
240,312,1,2,1,1,1,1,NaN
241,314,1,1,1,1,1,1,NaN
242,295,1,2,1,1,1,1,NaN
243,238,2,2,1,2,1,1,NaN
244,245,1,1,1,1,1,1,NaN
245,279,1,1,1,1,1,1,NaN
246,228,2,2,2,2,1,1,NaN
247,292,2,1,1,2,2,1,0.545654374540391
248,283,1,1,1,1,1,1,NaN
249,299,1,2,1,1,1,1,NaN
