PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
62,58,1,2,2,1,1,1,NaN
63,103,1,1,1,1,1,1,NaN
64,38,2,2,2,2,1,1,NaN
65,6,2,1,1,2,1,1,NaN
66,76,2,2,2,2,1,1,NaN
67,91,2,1,2,2,1,1,NaN
68,11,2,1,2,2,1,1,NaN
69,71,1,2,2,1,1,1,NaN
70,26,1,2,1,1,1,1,NaN
71,2,2,1,1,2,1,1,NaN
72,41,1,2,2,1,1,1,NaN
73,44,2,1,2,2,1,1,NaN
74,105,1,2,1,1,1,1,NaN
75,16,1,2,2,1,1,1,NaN
76,109,1,2,2,1,1,1,NaN
77,47,1,1,2,1,1,1,NaN
78,22,1,2,2,1,1,1,NaN
79,77,1,1,1,1,1,1,NaN
80,87,1,2,1,1,2,0,NaN
81,99,2,1,2,2,1,1,NaN
82,106,2,2,1,2,1,1,NaN
83,33,1,2,2,1,2,0,NaN
84,27,2,2,1,2,1,1,NaN
85,74,2,1,1,2,1,1,NaN
86,14,1,1,2,1,1,1,NaN
87,1,1,1,1,1,1,1,NaN
88,7,2,1,1,2,2,0,NaN
89,23,2,2,2,2,1,1,NaN
90,84,2,2,2,2,1,1,NaN
91,34,2,2,1,2,1,1,NaN
92,110,2,2,2,2,1,1,NaN
93,12,1,2,2,1,1,1,NaN
94,37,1,2,1,1,1,1,NaN
95,75,1,2,2,1,1,1,NaN
96,3,1,2,1,1,1,1,NaN
97,78,2,1,1,2,1,1,NaN
98,42,2,2,2,2,1,1,NaN
99,107,1,1,2,1,1,1,NaN
100,68,2,2,2,2,1,1,NaN
101,93,2,2,2,2,1,1,NaN
102,31,1,1,1,1,2,0,NaN
103,64,1,1,1,1,1,1,NaN
104,108,2,1,1,2,1,1,NaN
105,50,2,2,2,2,1,1,NaN
106,13,2,2,1,2,1,1,NaN
107,86,2,1,1,2,1,1,NaN
108,70,2,1,1,2,1,1,NaN
109,4,2,2,1,2,1,1,NaN
110,20,1,1,1,1,1,1,NaN
111,133,1,1,1,1,1,1,NaN
112,157,2,2,1,2,1,1,NaN
113,166,2,2,1,2,1,1,NaN
114,171,1,1,1,1,1,1,NaN
115,190,1,1,2,1,1,1,NaN
116,173,2,1,1,2,2,0,NaN
117,116,1,1,1,1,1,1,NaN
118,180,1,1,2,1,1,1,NaN
119,164,2,1,2,2,1,1,NaN
120,120,1,1,2,1,1,1,NaN
121,168,2,1,1,2,1,1,NaN
122,132,2,2,2,2,1,1,NaN
123,163,1,1,1,1,1,1,NaN
124,140,2,2,2,2,1,1,NaN
125,216,2,2,2,2,1,1,NaN
126,112,1,1,2,1,1,1,NaN
127,125,1,1,1,1,1,1,NaN
128,160,1,2,1,1,1,1,NaN
129,117,2,1,2,2,1,1,NaN
130,204,1,2,1,1,1,1,NaN
131,151,1,2,1,1,1,1,NaN
132,138,2,1,2,2,1,1,NaN
133,214,2,1,1,2,1,1,NaN
134,124,2,2,1,2,1,1,NaN
135,161,2,2,2,2,1,1,NaN
136,170,2,2,2,2,1,1,NaN
137,162,2,1,1,2,2,0,NaN
